Area.I1 Books.I2 Staff.I3 Populations.I4 Regist.O1 Borrow.O2
2.249 163.523 26 49.196 5.561 105.321
4.617 338.671 30 78.599 18.106 314.682
3.873 281.655 51 176.381 16.498 542.349
5.541 400.993 78 189.397 30.81 847.872
11.381 363.116 69 192.235 57.279 758.704
10.086 541.658 114 194.091 66.137 1438.746
5.434 508.141 61 228.535 35.295 839.597
7.524 338.804 74 238.691 33.188 540.821
5.077 511.467 84 267.385 65.391 1562.274
7.029 393.815 68 277.402 41.197 978.117
11.121 509.682 96 330.609 47.032 930.437
7.072 527.457 92 332.609 56.064 1345.185
9.348 601.594 127 356.504 69.536 1164.801
7.781 528.799 96 365.844 37.467 1348.588
6.235 394.158 77 389.894 57.727 1100.779
10.593 515.624 101 417.513 46.16 1070.488
10.866 566.708 118 503.914 102.967 1707.645
6.5 467.617 74 517.318 47.236 1223.026
11.469 768.484 103 537.746 84.51 2299.694
10.868 669.996 107 590.601 69.576 1901.465
10.717 844.949 120 622.55 89.401 1909.698
19.716 1258.981 242 660.164 97.941 3055.193
10.888 1148.863 202 808.369 191.166 4096.3
